Date,Type,Amount,Category,Note
2015-11-10 01:10:37,Expense,293.94,Utilities,
2015-10-05 01:10:05,Expense,145.80,Clothing,
2015-12-08 02:08:42,Income,490.00,Work,
2015-11-15 14:54:28,Expense,199.54,Housing,
2015-03-04 01:33:31,Income,296.28,Investment,
2015-11-22 18:22:26,Expense,39.43,Parking,
2015-10-22 20:31:50,Expense,776.46,Fruit,
2015-06-14 18:54:25,Income,301.26,Salary,
2015-11-26 10:38:32,Expense,442.11,Taxi,
2015-06-03 16:30:33,Expense,508.17,Communication,
2015-05-10 18:24:47,Income,488.41,Work,
2015-06-12 16:54:46,Income,497.44,Interest,
2015-08-06 12:55:40,Income,147.96,Part-time,
2015-04-03 05:59:09,Expense,456.69,Social,
2015-05-24 21:22:38,Income,340.50,Interest,
2015-03-26 03:34:23,Expense,682.31,Express,
2015-10-23 16:15:36,Expense,704.67,Refund,
2015-05-18 20:18:30,Expense,526.54,Goods,
2015-02-26 23:43:28,Expense,363.54,Communication,
2015-06-18 00:27:46,Expense,190.69,Provident,
2015-04-02 08:36:50,Expense,287.25,Tobacco,sheet
2015-05-14 12:50:32,Income,189.48,Work,
2015-05-26 22:06:20,Income,129.89,Gift,
2015-11-20 05:08:50,Income,221.62,Bonus,
2015-09-15 23:19:14,Income,386.02,Salary,
2015-07-12 05:42:37,Expense,186.52,Shopping,fund
2015-01-20 04:20:34,Expense,122.19,Property,reimbursement
2015-05-23 04:38:52,Expense,447.23,Security,bill
2015-11-09 12:59:52,Income,277.49,Part-time,
2015-03-05 13:30:21,Expense,552.25,Book,Dinner
2015-09-10 21:43:12,Expense,102.12,Beverage,
2015-04-01 21:43:13,Income,180.31,Gift,
2015-12-13 21:11:20,Income,149.15,Work,bill
2015-04-16 22:00:38,Income,359.82,Stock,for
2015-04-16 05:34:52,Expense,777.90,Baby,
2015-02-14 16:53:43,Income,26.66,Part-time,
2015-05-28 15:42:08,Expense,11.07,Pets,
2015-03-15 14:01:07,Income,410.42,Bonus,
2015-09-10 07:52:15,Expense,476.63,Second-hand,
2015-05-06 02:30:48,Income,256.46,Investment,settlement
2015-04-05 03:48:40,Expense,699.49,Transport,
2015-11-16 21:19:45,Income,342.36,Bonus,
2015-10-23 23:15:42,Income,19.26,Work,Dining
2015-06-19 14:24:56,Income,311.75,Investment,
2015-09-23 01:19:39,Income,42.04,Investment,
2015-10-28 13:13:58,Income,288.94,Gift,
2015-11-01 02:56:38,Expense,613.63,Sports,
2015-08-25 01:29:12,Income,247.95,Salary,Annual
2015-10-24 17:55:22,Expense,311.08,Tax,
2015-07-05 04:53:01,Income,390.27,Work,
2015-04-12 06:54:49,Expense,10.60,Education,
2015-09-27 06:43:57,Expense,693.69,Express,
2015-04-22 14:54:33,Expense,68.09,Property,
2015-09-25 15:51:27,Income,339.98,Reimbursement,
2015-04-20 19:26:47,Income,15.33,Bonus,
2015-05-22 08:14:13,Expense,681.69,Social,
2015-06-13 15:08:33,Expense,544.69,Red,
2015-03-04 05:01:22,Income,121.97,Gift,
2015-06-01 08:40:02,Income,369.04,Bonus,
2015-02-07 03:43:42,Expense,791.10,Sale,
2015-03-21 13:06:56,Income,4956.00,Salary,
2015-09-02 20:18:14,Income,101.33,Reimbursement,
2015-03-24 00:49:02,Expense,504.41,Book,
2015-11-27 00:58:42,Expense,80.57,Entertainment,
2015-01-25 06:01:34,Expense,319.45,Benefit,
2015-09-28 21:48:22,Income,352.95,Stock,
2015-02-05 13:21:57,Expense,691.16,Shopping,
2015-05-26 16:38:08,Income,153.72,Reimbursement,
2015-08-04 08:27:30,Expense,578.54,Sale,
2015-05-27 18:10:40,Income,37.45,Interest,
2015-02-08 20:32:41,Expense,173.88,Express,
2015-04-06 06:47:30,Income,353.15,Reimbursement,
2015-07-13 05:31:13,Expense,713.87,Housing,
2015-10-26 07:28:13,Income,200.86,Gift,
2015-01-28 12:12:47,Income,262.74,Bonus,
2015-11-15 04:30:51,Income,230.43,Bonus,
2015-01-15 14:48:21,Income,457.91,Part-time,
2015-10-21 00:25:48,Expense,286.50,Refund,
2015-11-26 11:19:36,Income,409.88,Part-time,Book
2015-05-03 08:43:53,Expense,632.54,Goods,
2015-08-06 00:36:12,Expense,66.88,Donation,
2015-03-12 16:07:30,Expense,671.37,Social,
2015-07-25 18:13:41,Expense,694.56,Education,
2015-04-07 07:55:56,Income,287.16,Part-time,
2015-04-03 17:31:44,Expense,291.19,Entertainment,
2015-11-05 21:40:12,Expense,18.90,Clothing,
2015-10-26 11:48:36,Income,27.01,Bonus,sheet
2015-07-20 06:11:29,Income,137.07,Investment,
2015-12-07 01:24:48,Expense,591.92,Digital,
2015-06-15 17:50:11,Income,360.03,Work,
2015-03-01 04:23:59,Income,4988.00,Salary,
2015-06-01 08:04:15,Expense,489.37,Book,
2015-01-15 03:00:58,Expense,195.53,Care,
2015-03-24 00:41:08,Expense,539.64,Second-hand,
2015-09-22 16:16:54,Income,354.93,Reimbursement,
2015-01-09 07:35:53,Expense,174.88,Tobacco,
2015-02-28 00:39:05,Income,209.10,Salary,
2015-11-11 00:19:51,Income,15.32,Reimbursement,red
2015-03-07 22:38:40,Expense,512.48,Entertainment,
2015-01-14 05:11:50,Income,204.52,Part-time,
2015-01-16 07:18:08,Income,321.77,Reimbursement,
2015-05-02 04:00:20,Income,267.52,Work,
2015-12-17 16:50:59,Income,289.75,Stock,
2015-09-24 11:49:02,Income,214.23,Stock,
2015-06-04 01:35:03,Expense,337.41,Security,
2015-08-05 01:05:57,Income,22.20,Stock,
2015-07-13 11:03:02,Income,115.96,Gift,
2015-06-28 09:21:58,Expense,698.58,Home,
2015-06-16 10:02:26,Income,154.96,Interest,
2015-05-12 08:28:29,Expense,446.74,Game,
2015-08-20 10:27:42,Income,245.23,Interest,
2015-02-05 23:08:14,Expense,737.94,Family,
2015-11-19 20:45:05,Expense,388.83,Medical,
2015-11-19 22:14:53,Expense,75.48,Security,
2015-10-16 12:12:08,Expense,220.76,Security,
2015-05-24 08:32:01,Income,36.81,Bonus,
