日期,类型,金额,分类,备注
2015-03-12 11:02:28,收入,4956.00,工资,
2015-07-24 21:38:48,收入,233.31,红包,
2015-11-25 04:35:44,收入,59.99,利息,
2015-12-15 12:18:05,支出,130.10,数码,年度结余
2015-05-06 05:54:30,支出,301.14,爱人,
2015-02-10 02:34:54,收入,347.33,红包,
2015-11-07 21:36:10,支出,324.75,维修,
2015-01-08 17:12:21,收入,35.83,社会保障,
2015-03-14 22:20:19,收入,309.28,二手转卖,
2015-04-05 06:06:39,支出,578.50,停车,
2015-10-05 15:54:15,支出,468.56,母婴,
2015-02-26 13:03:12,支出,56.86,零食,
2015-06-03 03:45:21,支出,272.14,外卖,
2015-08-05 18:47:49,支出,6.24,地铁,
2015-11-26 10:38:07,支出,554.36,装修,社交聚会
2015-01-18 07:58:18,支出,172.80,捐赠,
2015-06-04 06:43:43,收入,264.56,工作,
2015-04-01 13:55:34,收入,381.83,公积金,
2015-09-16 08:13:50,收入,284.52,理财,
2015-01-28 01:53:42,支出,271.05,社保,
2015-02-06 18:34:44,收入,135.14,股票,
2015-06-10 13:57:22,收入,68.83,社会保障,
2015-12-26 12:06:23,收入,59.21,礼金,
2015-11-28 10:02:24,收入,215.79,工资,
2015-12-09 07:23:56,支出,221.94,外卖,
2015-11-22 05:06:22,支出,46.29,汽车,
2015-03-08 07:34:27,支出,72.52,宠物,
2015-08-05 11:36:03,收入,125.39,利息,
2015-01-09 03:03:09,收入,237.80,公积金,
2015-01-26 22:28:06,收入,155.28,兼职,
2015-05-18 20:53:08,收入,4969.00,工资,
2015-10-26 09:59:50,收入,183.02,公积金,
2015-05-17 06:15:02,收入,215.86,奖金,
2015-01-16 16:43:27,收入,179.83,兼职,
2015-09-23 15:21:19,收入,59.15,工资,
2015-10-22 17:09:12,收入,45.54,红包,
2015-04-24 10:36:54,支出,33.05,购物,
2015-11-18 17:02:27,收入,302.48,奖金,
2015-10-06 06:50:58,收入,37.36,工资,
2015-06-25 12:30:29,收入,166.00,退税退费,
2015-02-06 21:45:55,收入,104.21,奖金,
2015-02-18 20:38:08,收入,426.24,退税退费,
2015-02-27 12:46:08,支出,262.88,餐饮,
2015-10-13 05:13:02,收入,311.56,二手转卖,
2015-05-18 02:38:29,收入,478.58,工资,
2015-12-12 18:55:24,支出,338.62,汽车,
2015-10-24 00:42:49,支出,452.60,外卖,
2015-02-02 21:12:04,支出,784.92,打车,
2015-03-15 18:40:52,收入,148.98,股票,旅游计划
2015-04-04 15:18:09,收入,269.97,利息,
2015-04-20 10:00:56,支出,590.35,母婴,
2015-04-15 15:13:03,收入,277.19,报销,
2015-04-09 09:45:28,支出,431.03,零食,
2015-08-03 21:53:41,支出,389.42,水果,
2015-01-08 22:07:01,支出,461.88,旅行,
2015-01-24 19:07:11,支出,45.87,日用品,
2015-05-13 12:58:18,收入,275.16,礼金,日用品采购
2015-04-26 04:34:05,支出,435.37,打车,
2015-08-25 11:11:32,支出,713.46,地铁,
2015-04-10 09:45:50,支出,683.39,运动,
2015-01-19 06:22:41,支出,588.75,美容,
2015-07-13 07:39:24,支出,683.00,宠物,
2015-08-22 19:43:24,收入,411.50,利息,
2015-04-02 08:26:59,支出,550.13,医疗,
2015-02-06 04:48:07,收入,234.83,报销,
2015-07-01 20:31:14,收入,28.50,利息,
2015-09-27 03:12:27,收入,497.16,报销,
2015-11-23 06:39:33,收入,54.35,退税退费,
2015-01-10 16:30:43,收入,456.19,公积金,
2015-01-18 21:56:36,收入,28.63,股票,
2015-05-13 00:53:42,支出,311.24,水果,
2015-01-19 03:55:07,收入,163.13,礼金,
2015-02-11 19:57:36,支出,451.27,装修,
2015-10-22 01:24:27,收入,482.02,退税退费,
2015-01-07 05:38:44,支出,113.08,医疗,
2015-01-16 06:32:18,收入,277.78,工资,
2015-04-12 06:13:46,支出,97.70,家庭,
2015-04-16 12:41:43,支出,748.24,维修,物业费
2015-10-13 04:11:54,收入,478.25,二手转卖,
2015-09-14 12:25:51,支出,360.27,饮料,
2015-10-11 05:53:54,支出,350.77,运动,
2015-11-03 14:04:51,支出,86.09,社交,
2015-04-20 21:45:29,支出,105.89,餐饮,
2015-12-25 18:17:09,收入,62.14,理财,
2015-08-20 17:56:19,支出,468.40,交通,
2015-07-10 06:39:02,收入,262.97,公积金,
2015-10-09 19:08:57,支出,92.74,餐饮,
